Rank	Uinversity	Country	Citations
1	Harvard University	USA	1299019
2	University of Chicago	USA	858075
3	Stanford University	USA	856971
4	University of California Berkeley	USA	790276
5	Massachusetts Institute of Technology	USA	757406
6	University of Oxford	UNITED KINGDOM	716322
7	University College London	UNITED KINGDOM	714700
8	University of Cambridge	UNITED KINGDOM	676667
9	Johns Hopkins University	USA	659611
10	University of Michigan	USA	640486
11	Michigan State University	USA	639518
12	Yale University	USA	630426
13	University of California San Diego	USA	616416
14	University of California Los Angeles UCLA	USA	602609
15	Columbia University New York	USA	592347
16	Duke University	USA	590529
17	University of Washington	USA	566464
18	Princeton University	USA	562373
19	Carnegie Mellon University	USA	561052
20	Washington University Saint Louis	USA	558963
21	University of Rochester	USA	536708
22	University of Toronto	CANADA	535909
23	Imperial College London	UNITED KINGDOM	522296
24	Arizona State University	USA	510222
25	Pennsylvania State University	USA	499541
26	Cornell University	USA	493838
27	New York University	USA	470827
28	University of Minnesota	USA	465958
29	Temple University	USA	460264
30	University of British Columbia	CANADA	458698
31	Ohio State University	USA	452394
32	University of Illinois Urbana Champaign	USA	450851
33	University of North Carolina Chapel Hill	USA	447055
34	Boston University	USA	439805
35	Georgia Institute of Technology	USA	439620
36	University of Southern California	USA	435041
37	University of California San Francisco	USA	432362
38	University of California Irvine	USA	431602
39	University of Maryland	USA	425543
40	National University of Singapore	SINGAPORE	419702
41	University of California Santa Barbara	USA	402858
42	McMaster University	CANADA	400677
43	Northwestern University	USA	398406
44	King's College London	UNITED KINGDOM	393975
45	University of Southampton	UNITED KINGDOM	391322
46	University of Texas Austin	USA	391261
47	University of Wisconsin Madison	USA	387222
48	University of Massachusetts Amherst	USA	384361
49	University of Pittsburgh	USA	381621
50	University of Pennsylvania	USA	381547
51	Lund University / Lunds Universitet	SWEDEN	378657
52	Vanderbilt University	USA	377209
53	University of California Davis	USA	376357
54	California Institute of Technology Caltech	USA	370540
55	University of Florida	USA	367929
56	Rice University	USA	366110
57	Australian National University	AUSTRALIA	364752
58	University of Glasgow	UNITED KINGDOM	357821
59	École Polytechnique Fédérale de Lausanne	SWITZERLAND	353766
60	University of Edinburgh	UNITED KINGDOM	353092
61	Northeastern University	USA	345189
62	Rutgers The State University of New Jersey	USA	336983
63	McGill University	CANADA	336441
